year,DEPTO_CLEAN,viirs_weighted_log
2019,ATLANTICO,2.181662930450174
2019,BOLIVAR,0.6936729422422823
2019,CESAR,0.5016569455685413
2019,CORDOBA,0.4858852462042605
2019,LA GUAJIRA,0.42505467147808457
2019,MAGDALENA,0.6276966359374285
2019,SUCRE,0.8440357444396984
2020,ATLANTICO,2.1859815882551707
2020,BOLIVAR,0.6940764058654204
2020,CESAR,0.4628466346954112
2020,CORDOBA,0.484411631871476
2020,LA GUAJIRA,0.4460455745934394
2020,MAGDALENA,0.6374594633653347
2020,SUCRE,0.8432832483298647
2021,ATLANTICO,2.2462017268419054
2021,BOLIVAR,0.7468031773660235
2021,CESAR,0.5192440455168198
2021,CORDOBA,0.5106582278578533
2021,LA GUAJIRA,0.5002440900663337
2021,MAGDALENA,0.6852185430106464
2021,SUCRE,0.8661557755589158
2022,ATLANTICO,2.2547965602803024
2022,BOLIVAR,0.7784033730523543
2022,CESAR,0.48356695736874755
2022,CORDOBA,0.5508763979646348
2022,LA GUAJIRA,0.5233158059716014
2022,MAGDALENA,0.693945757374814
2022,SUCRE,0.8678425991779244
2023,ATLANTICO,2.3067930088087425
2023,BOLIVAR,0.8685501766510405
2023,CESAR,0.6063626710762158
2023,CORDOBA,0.6336300151677109
2023,LA GUAJIRA,0.5818405779014808
2023,MAGDALENA,0.7431589224152698
2023,SUCRE,0.9644123209394245
2024,ATLANTICO,2.2825691709801634
2024,BOLIVAR,0.8624808007421878
2024,CESAR,0.5799383139102564
2024,CORDOBA,0.604143785364158
2024,LA GUAJIRA,0.5853222038820085
2024,MAGDALENA,0.7126064484286161
2024,SUCRE,0.8990894906491722
